应用名称,任务,SR,前缀长度,答案长度,ACP,OSR,最后执行的Path长度,SPL,备注
SimpleNote,Create a text note named 'NewTextNote',0,5,5,1,0,30,,多余步骤导致最后创建笔记名称为NewTextNoteAnd
,Create a checklist note called 'NewCheckList',0,4,5,0.8,0,30,,
,Delete the note 'Diary',1,3,3,1,0,30,,
,Create a new note called 'test' and type '123456',0,5,6,0.833333333,0,30,,
,Rename the note 'diary' to 'events,0,0,5,0,0,41,,
,Adjust the fontsize of the Notes app to 125%,1,4,4,1,0,30,,
,print 'Diary' as diary.pdf,0,0,5,0,0,41,,
,set app theme to light and save it,0,2,7,0.285714286,0,30,,
,disable autosave notes,0,2,4,0.5,0,30,,
,"Create a text note called 'test', type '12345678', and search for '234'",0,4,6,0.666666667,0,34,,
,change the alignment to center,0,1,4,0.25,0,30,,
,show the nunber of words in the Notes app,0,0,3,0,0,42,,
,create a checklist named 'test' and sort the items by creating date,0,2,8,0.25,0,32,,
,,,,,#DIV/0!,,,,
AppLauncher,search 'Clock' app and open it,0,3,4,0.75,0,30,,
,Sort apps by title in descending order,0,3,4,0.75,0,30,,
,Change column count to 3,1,3,3,1,0,30,,
,Change theme color to light,0,5,6,0.833333333,0,30,,
,Disable closing this app when launching a different one,1,3,3,1,0,30,,
,,,,,#DIV/0!,,,,
Calender,"create a new event, the task is 'laundry', save it",0,5,6,0.833333333,0,30,,
,Add the holidays of China to the calendar,0,3,4,0.75,0,30,,
,Add the holidays of South Africa to the calendar and list all the events ? in 2023,0,1,6,0.166666667,0,33,,
,add all my contacts' birthdays into the calendar,0,2,3,0.666666667,0,35,,
,Add the holidays of United States to the calendar,0,2,3,0.666666667,0,32,,
,change the snooze time to 30 min,0,2,4,0.5,0,30,,
,add all the contacts anniversaries into Calendar,0,1,3,0.333333333,0,30,,
, Use 24 hour formats in the Calendar app,1,2,2,1,0,30,,
,export the events to test.ics under DCIM folder,0,2,4,0.5,0,30,,
,disable start week on Sunday,1,2,2,1,0,3,0,
,"add the event of 'VisitParents' on july 30, remind me 1 hour before, save it",0,8,12,0.666666667,0,30,,
,search the task 'homework',1,4,4,1,0,30,,
,create an event of 'homework' with daily repetition and save it,0,5,6,0.833333333,0,30,,
,delete all the events in the Calendar app,0,0,4,0,0,30,,
,change the view from monthly to yearly,1,2,2,1,0,30,,
,change the event type 'regular event' to 'deadlines',这个搞不懂什么意思,,,#DIV/0!,,,,
, change the event reminder sound of Calendar app to adara,0,2,5,0.4,0,30,,
,,,,,#DIV/0!,,,,
Camera,take a selfie,1,2,2,1,0,30,,
,open the last picture I took,1,2,2,1,0,30,,
,record a short video,1,3,3,1,0,30,,
,rotate right the last picture I took and save it as pic4.jpg,0,3,7,0.428571429,0,30,,
,print the last picture I took as pic3.jpg,0,1,9,0.111111111,0,30,,跨应用
,close the shutter sound,1,2,2,1,0,30,,
,use volume button as shutter,1,2,2,1,0,30,,
,set photo compression quality to 50%,1,3,3,1,0,30,,
,move the last photo I took to folder 'movies' in SD card,0,5,6,0.833333333,0,30,,少个OK
,add the last photo to favorite,1,2,2,1,0,30,,
,take a short selfie video,1,4,4,1,0,30,,
,resize the last photo to 1000:473,0,10,11,0.909090909,0,30,,少个OK
,check the size of the last photo I took,1,2,2,1,0,30,,
,rename the last photo to 'sunset',0,4,5,0.8,0,35,,少个OK
,delete the last photo I took,0,5,6,0.833333333,0,43,,少个OK
,,,,,#DIV/0!,,,,
Clock,change alarm max reminder duration to 1 minute,1,4,4,1,0,30,,
,open the clock page,,,,#DIV/0!,,,,很离谱啊 应用启动后是在clock，不需要操作。
,turn on the '7:00 am' alarm clock vibration function,0,3,4,0.75,0,30,,
,Set the sorting order for alarms by 'Day and Alarm time',0,3,4,0.75,0,30,,
,Set the snooze time to 5 minute,0,3,4,0.75,0,30,,
,add a new timer of 5:00,1,3,3,1,0,30,,
,check the frequently asked questions,1,2,2,1,0,30,,
, disable 'start week on sunday',1,3,3,1,0,30,,
,change timer max reminder duration to 5 minutes,0,4,5,0.8,0,30,,
,turn off increase volume gradually,1,2,2,1,0,30,,
